role,full_name,email,login,password
admin,Никифорова Весения Николаевна,94d5ous@gmail.com,94d5ous@gmail.com,uzWC67
admin,Сазонов Руслан Германович,uth4iz@mail.com,uth4iz@mail.com,2L6KZG
admin,Одинцов Серафим Артёмович,yzls62@outlook.com,yzls62@outlook.com,JlFRCZ
manager,Степанов Михаил Артёмович,1diph5e@tutanota.com,1diph5e@tutanota.com,8ntwUp
manager,Ворсин Петр Евгеньевич,tjde7c@yahoo.com,tjde7c@yahoo.com,YOyhfR
manager,Старикова Елена Павловна,wpmrc3do@tutanota.com,wpmrc3do@tutanota.com,RSbvHv
client,Михайлюк Анна Вячеславовна,5d4zbu@tutanota.com,5d4zbu@tutanota.com,rwVDh9
client,Ситдикова Елена Анатольевна,ptec8ym@yahoo.com,ptec8ym@yahoo.com,LdNyos
client,Ворсин Петр Евгеньевич,1qz4kw@mail.com,1qz4kw@mail.com,gynQMT
client,Старикова Елена Павловна,4np6se@mail.com,4np6se@mail.com,AtnDjr
