Номер заказа,Артикул заказа,Дата заказа,Дата доставки,Адрес пункта выдачи,ФИО авторизированного клиента,Код для получения,Статус заказа
1,"А112Т4, 2, F635R4, 2",27.02.2025,20.04.2025,1,Степанов Михаил Артёмович,901,Завершен
2,"H782T5, 1, G783F5, 1",28.09.2022,21.04.2025,11,Никифорова Весения Николаевна,902,Завершен
3,"J384T6, 10, D572U8, 10",21.03.2025,22.04.2025,2,Сазонов Руслан Германович,903,Завершен
4,"F572H7, 5, D329H3, 4",20.02.2025,23.04.2025,11,Одинцов Серафим Артёмович,904,Завершен
5,"А112Т4, 2, F635R4, 2",17.03.2025,24.04.2025,2,Степанов Михаил Артёмович,905,Завершен
6,"H782T5, 1, G783F5, 1",01.03.2025,25.04.2025,15,Никифорова Весения Николаевна,906,Завершен
7,"J384T6, 10, D572U8, 10",30.02.2025,26.04.2025,3,Сазонов Руслан Германович,907,Завершен
8,"F572H7, 5, D329H3, 4",31.03.2025,27.04.2025,19,Одинцов Серафим Артёмович,908,Новый 
9,"B320R5, 5, G432E4, 1",02.04.2025,28.04.2025,5,Степанов Михаил Артёмович,909,Новый 
10,"S213E3, 5, E482R4, 5",03.04.2025,29.04.2025,19,Степанов Михаил Артёмович,910,Новый 
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
